Rating,Review_Date,Review
7.0,28 October 2015,"Despite good casting, very good performances, more than a correct direction, camera work, sfx, editing and music, this movie is not excellent. It has no soul, as previous version (with Timothy Olyphant, 2007) did. Comparison is inevitable. This is only an action movie: a good bunch of action scenes and essentially a mindless fun. However, no character development or an explanation who, why, where, when and so on. Previous version had it all and if someone planned sequels (or a franchise), they should have done it eight years ago. Then it would make sense. Don't get me wrong here. This movie is not a bad one and the cast gave it all to make it entertaining. But for me that is just not enough, considering the template (video game) and possibilities to develop a good idea into a more complex and challenging story. This movie returns all to the level of the video game (maybe even below that). I think that these characters deserve more. So do we. Recommended for ""set-brains-to-off"" fun on a weekend afternoon."
5.0,21 October 2015,
7.0,31 July 2020,"Hitman: Agent 47 is a pretty decent thriller/action movie. It was probably not as cool as I expected after watching the trailer, but I still enjoyed it.

The story of course has wholes, inconsistencies and illogical moments, but if you just want to see some action and let it flow, then you will enjoy it as well. The main characters deliver and my rather small complaint would that neither of them are actual martial artists and as there are a lot of hand-to-hand combat, sometimes it was not as smooth as it was supposed to be, but still very watchable.

Recommended for action movie nights."
6.0,1 March 2020,"There seems to have been a great opportunity here to do something very Bourne-esque with the premise, but alas, it's just another average Hollywood action movie where everything is very silly, totally unbelievable and lacking depth. Still, if you just want to watch something with some action, then this is as good of a time-killer as anything else, maybe even more so if you're a fan of the video games that it's based on, although I suppose that would depend on just how faithful they've been to the source material. There's been better and there's been worse."
6.0,23 March 2024,"Greetings from the other side. I just finished watching this movie again, and it all came rushing back. ..

First, this is a good action movie, and it would have done better if it removed the bogus ""Hitman"" tag. Obviously, it was put there to get butts in the chair, and that may have worked a little. However, when people show up expecting something, and you give them something else, it pisses them off, and the reviews will suffer because of it.

There is an agent 47, and it is suppose to be a hitman movie, but it's really not. The first Hitman movie with Timothy Olyphant did it justice, and if you haven't seen that movie, I highly suggest you do. Agent 47 doesn't act properly in this movie. There is no sneaking or setting cool traps, etc. It's wide open action here, and Swartzenegger could have played the role.

Anyway, it's still a good action movie and worth viewing, just be aware that this is not your typical Hitman movie, that all."
4.0,23 August 2015,"One thing that bugs me more than any other about this film is the choice of the lead actor. He looks more like poor man's Orlando Bloom, and less like Agent 47 from the video game. IMHO he doesn't look convincing enough to play this role. He looks too skinny to be an engineered human being, bred for one purpose, to be a killing machine (just shaving some actors head doesn't make him an Agent 47). Wouldn't all those years of physical training be visible on his physique? Maybe I'm wrong, and he was bred for stamina rather than strength. The action scenes are very well done with some genuine WOW moments, but the story feels too generic, and plagued with the same problems like the first attempt on turning this video game into a movie (they just had to have a woman as his sidekick again!!!). If you expect a good action flick, you will be satisfied, but if you are a video game fan, this just won't do it for you, as it didn't do it for me."
6.0,26 October 2015,
4.0,11 December 2015,"It felt like the team that made the Resident Evil films- another failed attempt to turn a game into a movie - has worked on this as well. It is an Apple-style, gun kata, Matrix derived, James Bond cloning, CGI filled, Resident Evil sequel.

I wanted to watch it because I like Rupert Friend in Homeland. He did not disappoint, but neither did he blow my mind. It is clear that he needs better direction than the one time director Aleksander Bach could provide. Zachary Quinto does a decent job as well, considering the script. Hannah Ware is... cute and has a British accent. That's about it.

I could waste time telling you about the story, but it is rather silly and obvious. Even the twists, you see them coming from miles away. I think one thing only explains the film better than any review: Jürgen Prochnow gets less screen time than Angelababy in this movie. Yeah, I had to google her, too."
6.0,14 October 2019,"This is not a bad action movie, but it is not a hitman movie. Its not about a sneaky hitman. And rupert does not get the part right... This is not living up to the first hitman movie that was awesome"
2.0,19 August 2015,
8.0,18 January 2016,"This is a great, big, steaming pile of tripe on your plate, so make of it what you will. If you like it, I won't hold it against you. Personally, I thought it was insultingly stupid at times, at least when it wasn't completely screwing the original character over. When they started harpooning cars, I just threw my hands up and said: ""I give up!"" Please, no more of this. It. Was. Awful.

Mr. Friend, Mr. Kretschmann or Mr. Hinds aren't to blame. They delivered their parts with their usual professionalism. Mr. Quinto was okay too.

If you want to see a decent movie about Agent 47, watch ""Hitman"", starring Timothy Olyphant. That movie is much better and much 'closer to home', so to speak.

47 is an assassin, not a superhero, or even a hero, for that matter.

Just an assassin."
6.0,16 February 2016,"A straight forward Action Movie

I don't understand the low rating.. Honestly..

A postmodern bulk action movie, with a rather cold (cool) edge. With a lot of stock actors (redshirts), tons of bullets, car chases and a straightforward story.. Would make a great TV Show. Good entertainment with agreeable acting. Rupert Friend is a believable fighting machine.. All in all a straightforward, no frill action with no higher aspiration..

I did enjoy this compact gem..

Therefor I give it a solid 8/10."
